empresa,estado,cidade,segmento,area,assunto,problema,data_abertura,classificacao,nota_satisfacao,ano,mes
Eventim Brasil,SP,Barretos,Entretenimento,Demais Serviços,"Cultura / Esporte / Lazer / Eventos (shows, jogos, cinema, teatro, festas, clubes, academias de ginástica)",Venda casada,2026-03-22,Não Avaliada,,2026,3
Expresso União,RJ,Campos dos Goytacazes,Transporte Terrestre,Transportes,Rodoviário interestadual / intermunicipal,SAC - Demanda não resolvida / não respondida / respondida após o prazo,2026-01-12,Não Avaliada,,2026,1
99Pay,SP,São Paulo,Empresas de Pagamento Eletrônico,Serviços Financeiros,Serviço de pagamento online/ via celular/ maquininha,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-01-16,Não Avaliada,,2026,1
Facebook / Instagram,MG,Juatuba,Provedores de Conteúdo e Outros Serviços na Internet,Demais Serviços,"Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc)",Má qualidade no atendimento (descortesia / despreparo/ constrangimento),2026-01-08,Não Avaliada,,2026,1
Magazine Luiza - Loja Online,PR,Colombo,Comércio Eletrônico,Demais Produtos,Móveis e Colchões,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,2026-02-26,Não Avaliada,,2026,2
Banco Yamaha,RS,Porto Alegre,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamentos de Veículos / Leasing,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-05,Não Avaliada,,2026,1
Mercado Livre,CE,Fortaleza,Empresas de Intermediação de Serviços / Negócios,Produtos Eletrodomésticos e Eletrônicos,Televisão,Má qualidade no atendimento (descortesia / despreparo/ constrangimento),2026-01-03,Não Resolvida,1.0,2026,1
C&A,SP,São Paulo,"Vestuário, Calçados e Acessórios",Demais Produtos,"Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc)",Cobrança em duplicidade / Cobrança referente a pagamento já efetuado,2026-01-07,Não Avaliada,,2026,1
Banco Santander,MA,Açailândia,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-08,Não Avaliada,,2026,1
Pontofrio.com,MG,Lagoa Santa,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,Refrigerador / freezer,Não entrega / demora na entrega do produto,2026-01-09,Não Avaliada,,2026,1
Mercado Livre,SP,Arujá,Empresas de Intermediação de Serviços / Negócios,Produtos Eletrodomésticos e Eletrônicos,"Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc)",Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,2026-01-12,Não Avaliada,,2026,1
Lojas Renner,MG,Belo Horizonte,"Vestuário, Calçados e Acessórios",Demais Produtos,"Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc)",Não entrega / demora na entrega do produto,2026-01-23,Não Avaliada,,2026,1
Banco Master (antigo Banco Máxima),PR,Maringá,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),SAC - Dificuldade para cancelar o serviço,2026-03-26,Não Avaliada,,2026,3
Santander Auto,BA,Vitória da Conquista,"Seguros, Capitalização e Previdência",Serviços Financeiros,Seguros de Veículos,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-03-10,Não Avaliada,,2026,3
Banco Santander,BA,Ilhéus,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamentos de Veículos / Leasing,SAC - Demanda não resolvida / não respondida / respondida após o prazo,2026-03-02,Não Avaliada,,2026,3
Tok&Stok - Loja Online,SP,São Paulo,Comércio Eletrônico,Demais Produtos,Móveis e Colchões,Não entrega / demora na entrega do produto,2026-02-28,Não Resolvida,1.0,2026,2
SPC Brasil,SP,Campinas,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-04,,,2026,1
Nubank,PR,Wenceslau Braz,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Renegociação / parcelamento de dívida,2026-01-01,Não Resolvida,5.0,2026,1
Sam´s Club,RS,Porto Alegre,Supermercados,Alimentos,"Alimentos para fins especiais (dietéticos, infantis, suplementos, gestantes, energéticos, isotônicos etc)",Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,2026-01-10,Não Avaliada,,2026,1
Tok&Stok - Loja Online,BA,Salvador,Comércio Eletrônico,Demais Produtos,Móveis e Colchões,Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia,2026-01-10,Resolvida,3.0,2026,1
Neoenergia Cosern,SP,Campinas,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Dificuldade para mudança de poste/rede (instalado pela concessionária),2026-01-07,,,2026,1
Serasa Experian,SP,São Paulo,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-08,Não Avaliada,,2026,1
Serasa Experian,MA,São Luís,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-12,Não Avaliada,,2026,1
Azul Linhas Aéreas,BA,Salvador,Transporte Aéreo,Transportes,Aéreo,Negativa de embarque de passageiro (preterição / overbooking),2026-01-10,Não Avaliada,,2026,1
Serasa Experian,SP,São Paulo,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-06,Não Avaliada,,2026,1
Equatorial Alagoas,AL,Maceió,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,SAC - Dificuldade de contato / acesso,2026-01-21,Não Resolvida,1.0,2026,1
Banco Pan,RJ,Cabo Frio,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),SAC - Demanda não resolvida / não respondida / respondida após o prazo,2026-02-06,Não Avaliada,,2026,2
SORTENABET,BA,Feira de Santana,"Empresas de Apostas, Loterias e Promoções Comerciais","Loterias, Apostas e Promoções Comerciais",Promoções Comerciais,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-01-12,Não Avaliada,,2026,1
BrasilCard,SP,Catanduva,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-12,Não Avaliada,,2026,1
Crediativos,SP,Osasco,Empresas de Recuperação de Crédito,Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Negativação indevida - desconhece motivo e/ou fornecedor,2026-03-07,Não Avaliada,,2026,3
Vivo - Telefônica,SP,Americana,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Móvel,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-03-17,Resolvida,5.0,2026,3
iFood,SP,São Paulo,Empresas de Intermediação de Serviços / Negócios,Demais Serviços,Serviços de entrega / delivery,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,2026-01-08,,,2026,1
Ipanema,SC,Camboriú,Empresas de Recuperação de Crédito,Serviços Financeiros,Score / Pontuação de Crédito,Impossibilidade / dificuldade de revisão do score / pontuação,2026-04-02,Não Avaliada,,2026,4
Serasa Experian,PA,Belém,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Vazamento de dados ou outros incidentes de segurança (acessos não autorizados e situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou tratamento inadequado ou ilícito)",2026-01-08,Não Avaliada,,2026,1
Lojas Marisa,RS,Porto Alegre,"Vestuário, Calçados e Acessórios",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Negativação indevida - desconhece motivo e/ou fornecedor,2026-01-13,Não Avaliada,,2026,1
Recovery do Brasil Consultoria,MG,Sete Lagoas,Empresas de Recuperação de Crédito,Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Negativação indevida - desconhece motivo e/ou fornecedor,2026-03-08,Não Avaliada,,2026,3
Banco do Brasil,MG,Belo Horizonte,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-02,Não Avaliada,,2026,1
Nubank,RJ,Sumidouro,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),"Dificuldade para obter boleto de quitação ou informações acerca de cálculos, pagamentos, saldo devedor",2026-01-12,Não Avaliada,,2026,1
Cartões Itaú,RR,Boa Vista,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-09,Resolvida,5.0,2026,1
Banco Santander,SP,São Bernardo do Campo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-03-15,Não Avaliada,,2026,3
Cartão Carrefour,CE,Itaitinga,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Renegociação / parcelamento de dívida,2026-02-20,Resolvida,3.0,2026,2
Nubank,SP,Itapetininga,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-23,Não Avaliada,,2026,1
Serasa Experian,MS,São Gabriel do Oeste,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-07,Não Resolvida,1.0,2026,1
Credsystem,SP,São José dos Campos,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-03-22,Não Avaliada,,2026,3
Vivo - Telefônica,GO,Goiânia,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Fixa,"Fidelização indevida (multa não permitida, acima do prazo, não informada)",2026-03-02,Resolvida,3.0,2026,3
PagBank (Antiga PagSeguro),CE,Fortaleza,Empresas de Pagamento Eletrônico,Serviços Financeiros,Serviço de pagamento online/ via celular/ maquininha,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-01-12,Não Avaliada,,2026,1
Banco Pan,SP,Piracicaba,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Informações incompletas / inadequadas sobre o serviço,2026-01-12,,,2026,1
Philco,PB,João Pessoa,Fabricantes - Eletroportáteis e Artigos de Uso Doméstico e Pessoal,Produtos Eletrodomésticos e Eletrônicos,Televisão,Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia,2026-01-13,Não Avaliada,,2026,1
Serasa Experian,SP,Guaimbê,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-03,Não Avaliada,,2026,1
Serasa Experian,AP,Porto Grande,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Score / Pontuação de Crédito,Negativação indevida - desconhece motivo e/ou fornecedor,2026-01-13,Não Avaliada,,2026,1
Serasa Experian,MT,Aripuanã,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Cadastro Positivo,Renegociação / parcelamento de dívida,2026-01-03,Não Avaliada,,2026,1
Serasa Experian,MG,Contagem,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-03-14,Não Avaliada,,2026,3
Banco Santander,BA,Salvador,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-07,Não Avaliada,,2026,1
LG Electronics - Loja Online,SP,São Paulo,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,"Ar condicionado, ventilador e aquecedor",Não entrega / demora na entrega do produto,2026-01-05,Resolvida,3.0,2026,1
Azul Fidelidade (Antiga Tudo Azul),DF,Brasília,Programas de Fidelidade,Demais Serviços,"Programas de Fidelidade / Benefícios (pontos, milhagem etc)",Dificuldade para alterar ou cancelar o contrato /serviço,2026-01-05,Resolvida,5.0,2026,1
Recovery do Brasil Consultoria,SP,São Paulo,Empresas de Recuperação de Crédito,Serviços Financeiros,Financiamentos de Veículos / Leasing,"Cobrança submetendo a ofensa, constrangimento ou ameaça",2026-03-14,Não Resolvida,1.0,2026,3
Auto Viação Santa Cruz,SP,São Paulo,Transporte Terrestre,Transportes,Rodoviário interestadual / intermunicipal,Meia entrada ? recusa / falta de informação,2026-01-07,Não Avaliada,,2026,1
Santander Financiamentos (Aymoré),RS,Gravataí,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamentos de Veículos / Leasing,"Cobrança de tarifas, taxas, valores não previstos / não informados",2026-01-08,Não Avaliada,,2026,1
C6 Bank,MG,Belo Horizonte,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-12,Não Avaliada,,2026,1
Nubank,RS,Passo Fundo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cobrança de tarifas, taxas, valores não previstos / não informados",2026-01-05,Não Avaliada,,2026,1
Neoenergia Coelba,BA,Luís Eduardo Magalhães,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,"Negativação indevida (SPC, Serasa, SCPC etc)",2026-01-17,Não Avaliada,,2026,1
Gol Linhas Aéreas,ES,Linhares,Transporte Aéreo,Transportes,Aéreo,Cancelamento de voo,2026-01-09,Resolvida,5.0,2026,1
Banco Bradesco,PB,Campina Grande,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-02-13,Não Resolvida,1.0,2026,2
Philco,BA,Salvador,Fabricantes - Eletroportáteis e Artigos de Uso Doméstico e Pessoal,Produtos Eletrodomésticos e Eletrônicos,"Eletroportáteis ( batedeira, liquidificador, umidificador, secador, cafeteira etc )",Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia,2026-03-10,Não Avaliada,,2026,3
Cartões Itaú,GO,Goiânia,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cobrança de tarifas, taxas, valores não previstos / não informados",2026-01-13,,,2026,1
